"Road vehicle fleet at 31 December by vehicle category and age group"

"Age Group","Type of Vehicle","Country","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"All ages","Light goods road vehicles","Finland",253109,249400,252032,258697,266944,280610,293707,304318,312557,319699,327122,355182,376092,376092,394718,424498,443912,464408,488939,508011,387674,400396,414295,430717,448034,465024,481797,496748,508961
"All ages","Light goods road vehicles","France",3618088,3606037,3596916,3553720,3453029,4984586,5074835,5194817,5306067,5354321,5362600,5382259,5417502,5426934,5569683,5352254,5405456,5503230,5589784,5652761,6232061,6270839,6257419,4560745,4798184,4857367,4823739,4831151,4868148
"All ages","Light goods road vehicles","Georgia",48748,42081,90600,77000,64900,56200,50000,47000,47000,45500,42900,36403,40616,46809,51684,54400,,65569,73035,78508,83918,89987,,,,,,,
"All ages","Light goods road vehicles","Germany",2015452,2113751,2215236,2273493,2315483,2370599,2465535,2610885,2649097,2619267,2586329,2572142,2573077,2604061,2323064,2346678,2385099,2441377,2528656,2578567,2100000,2176613,2275762,2383394,2500520,2616118,2743525,2880870,3018598
"All ages","Light goods road vehicles","Greece",818084,836978,871366,902013,938515,973760,1009995,1043018,1070712,1093315,1114494,1159137,1186483,,,,,,,,,,,,,,,,
"All ages","Light goods road vehicles","Hungary",224426,244671,278018,282189,295425,295048,308944,328357,341109,354488,361778,361432,375236,418360,427734,409588,419416,416672,415424,414405,359686,371278,386629,404204,423252,444588,468274,483463,499641
"All ages","Light goods road vehicles","Iceland",14120,13984,14487,14979,15712,15905,17115,18662,19175,19443,20340,21993,24477,,,31819,,,,,,,,,26576,28065,28939,29461,31721
"All ages","Light goods road vehicles","Ireland",135225,135809,141785,146601,158158,170866,188814,205575,219510,233069,251130,268082,362855,,345874,352730,335765,319151,312196,301498,289098,288129,299737,310291,312799,317798,327878,340580,344181
"All ages","Light goods road vehicles","Israel",203836,234687,246605,260401,273395,282904,292107,309938,326284,335724,337517,344573,350736,353853,357772,358254,,,,,,,,,219331,208679,199777,192489,
"All ages","Light goods road vehicles","Italy",,2637884,2708801,2999804,3059140,3171494,3221335,3377573,3541545,3751700,3933930,4015612,4179659,4331747,4437638,3914998,3944782,3983502,4022129,3989009,3318991,3325730,3348932,3431207,3502654,3556816,3613056,3705041,3774192
"All ages","Light goods road vehicles","Kazakhstan",,298236,260828,210566,165048,128133,106331,94291,88268,88642,89640,,281538,146287,154968,414332,,397600,414018,428862,450178,434665,443161,439167,440612,404848,461780,,
"All ages","Light goods road vehicles","Kyrgyzstan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"All ages","Light goods road vehicles","Latvia",60454,59386,60769,64478,67463,74954,80112,86853,88890,91602,93130,95509,100151,106435,113228,113978,106376,61057,60977,63623,45923,50047,53421,53266,55557,57146,59291,60696,63078
"All ages","Light goods road vehicles","Liechtenstein",,,1949,2079,2204,2308,2428,2166,2292,2344,2317,2344,2327,2286,2297,2391,2446,2517,2608,2744,2476,2510,2577,2688,2746,2839,2946,2986,3089
"All ages","Light goods road vehicles","Lithuania",89530,93593,101422,81291,84731,89866,86824,88346,89373,93508,97454,101284,106247,117427,126507,128733,126519,113113,113452,113505,80739,55676,57345,59293,61142,64345,68003,71983,76169
"All ages","Light goods road vehicles","Luxembourg",14641,15398,15794,15794,16276,17020,19226,20415,21730,22606,23224,23981,24881,25769,27043,28571,29191,30158,31457,32385,27635,28521,29668,31138,32951,34760,36210,37797,39533
"All ages","Light goods road vehicles","Malta",34024,37601,40835,38431,46312,48403,42687,41983,42399,42615,44657,44591,39397,40116,40179,41965,41323,41269,41495,41642,32456,33054,33085,33731,34985,36571,37953,38931,39450
"All ages","Light goods road vehicles","Monaco",,,,,,,,,,,,,,,,4208,,,,,,,,,,,,,4030
"All ages","Light goods road vehicles","Montenegro",,,,,,,,,,,,,,,,,,,,,,,,10982,11980,13440,14727,,
"All ages","Light goods road vehicles","Netherlands",81065,81655,81762,608662,648391,710169,779427,839194,880300,917378,946197,971074,938898,925189,937616,951282,945723,932636,919211,899217,815169,814954,828383,852632,883350,903005,939801,960130,974792
"All ages","Light goods road vehicles","North Macedonia",20104,17436,19546,19375,19815,20075,20011,20763,21727,20213,19042,,14702,13545,12981,13325,14160,13744,27917,26542,23372,32123,33237,34669,35912,37010,38048,,
"All ages","Light goods road vehicles","Norway",319442,331710,345153,353455,,69520,70694,70652,,,,443585,458772,481282,505659,514991,514984,518819,525889,534434,,,,480962,487853,491649,502455,504893,515202
"All ages","Light goods road vehicles","Poland",953472,1002575,1298711,1370897,1421492,1484575,1597874,1783008,1876155,2051831,2191762,2262923,2177901,2246294,2345068,2511677,2595485,2767035,2892064,2920779,2334415,2399323,2447764,2515751,2574312,2649198,2733004,2814490,2905731
"All ages","Light goods road vehicles","Portugal",1011475,1117971,1175376,1245793,1333116,1436098,1540631,1658229,1752716,1829158,,,,,,,,1402609,1383193,1223877,1164962,1259725,1224821,1221913,1240914,1267647,1396653,1290390,1289760
"All ages","Light goods road vehicles","Republic of Moldova",59624,57668,59888,57138,56924,42779,35908,27648,24980,23616,46905,73855,81798,84087,94828,115967,120174,131243,141696,151830,154163,160199,,,,,,136436,
"All ages","Light goods road vehicles","Romania",304761,330222,317874,339173,356321,380312,410159,413493,418522,409013,426013,442742,493821,422830,467280,612179,629753,636077,665990,642241,,,,794578,846472,753029,797135,839103,877319
"All ages","Light goods road vehicles","Russian Federation",2798910,2875175,2936874,3041515,3103100,3108231,3196177,4320000,4378735,4509507,4551839,4649351,4848509,4928563,5167849,5348712,5322562,5413513,5544699,5751024,6046934,,,,,,,,
"All ages","Light goods road vehicles","San Marino",,,,,,,,,,,2547,2471,,,,,,,,,,,,,,,,,
"All ages","Light goods road vehicles","Serbia",,,,,,,,,,,,,271478,126045,129877,139331,148252,151687,159455,144075,140854,139220,,,,,,,
"All ages","Light goods road vehicles","Slovakia",147673,147954,148431,142508,148456,154771,157651,149902,156481,164484,174173,163067,196878,191489,215124,246893,265614,273328,278822,284009,288436,293118,302455,308952,318027,328063,332486,,
"All ages","Light goods road vehicles","Slovenia",33758,35816,39371,41844,44248,45769,47888,50232,51836,55242,48926,51347,60234,62964,68888,74238,74749,75121,75508,75096,,,,,,,,,
"All ages","Light goods road vehicles","Spain",2735144,2825747,2936765,3057347,3205974,3393446,3604972,3780221,3949001,4091875,4188910,4418039,4655413,4910257,5140586,5192219,5136214,5103980,5060791,4984722,,4506916,4519096,4544462,4585923,4637954,4669349,4682656,4696170
"All ages","Light goods road vehicles","Sweden",301867,299166,302720,306794,315804,337973,347805,367515,389045,402203,414894,433008,454005,471976,495717,502036,506571,512340,533949,542758,484387,499962,514443,533005,553585,570252,583245,593686,603714
"All ages","Light goods road vehicles","Switzerland",247242,249869,255588,256054,256956,259871,266074,270325,276573,281095,283078,288614,297088,303600,312900,315200,317000,324000,337300,350700,319000,329200,341000,352500,363131,374819,386668,398643,410404
"All ages","Light goods road vehicles","Tajikistan",,,,58546,57862,61745,53275,,,,,,,,,,,,,,,,,,,,,,
"All ages","Light goods road vehicles","Turkiye",659801,688244,719164,776057,883424,997167,1071902,1188742,1229668,1274406,1378491,1839121,2075403,2316584,2520545,2699811,2817817,,,,2933050,3062479,3255299,3442483,3642625,3755580,3796919,3938732,
"All ages","Light goods road vehicles","Turkmenistan",,,,,,,,,,,,,,,,104250,,,,,,,,,,,,,
"All ages","Light goods road vehicles","Ukraine",,,,,,,880389,785294,808612,937611,939499,917549,,910163,922099,,,845730,1218307,,,,,,,,,,
"All ages","Light goods road vehicles","United Kingdom",2588571,2585320,2462000,2659869,2678806,2770317,2803304,2861463,2960542,3052688,3072742,3339765,3373441,3495790,3618108,3652061,3564489,3576452,3607601,,,,3627473,3775884,3892041,4003781,,,4400284
"All ages","Light goods road vehicles","United States",17130885,6303314,6719421,7012615,7083326,7732270,7791426,8022649,7857674,7927280,7912018,8171364,8481999,108045000,110604000,110348033,9029642,,,133130032,120522560,124680609,128552549,132715671,137748946,141101863,,,
"All ages","Light goods road vehicles","Uzbekistan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"All ages","Lorries (vehicle wt over 3500 kg)","Albania",,,,,,,,,,,,,,,,,,,,,,,,17670,12534,13013,13518,10236,10736
"All ages","Lorries (vehicle wt over 3500 kg)","Andorra",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"All ages","Lorries (vehicle wt over 3500 kg)","Armenia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"All ages","Lorries (vehicle wt over 3500 kg)","Austria",,,,,,,,,,,,,,,,,,,,,53346,52908,52352,52582,52924,53582,54003,53988,54656
"All ages","Lorries (vehicle wt over 3500 kg)","Azerbaijan",,,,,,,,,,,,,,,,,,,,,,,,,,147343,150547,,
"All ages","Lorries (vehicle wt over 3500 kg)","Belarus",,,,,,,,,,,,,,,,,,,,,,,,,,,,,396802
"All ages","Lorries (vehicle wt over 3500 kg)","Belgium",,,,,,,,,,,,,,,,,,,,,,,100204,98280,97318,96690,96474,95356,94653
"All ages","Lorries (vehicle wt over 3500 kg)","Bosnia and Herzegovina",,,,,,,,,,,,,,,,,,,,,,,,,23470,24054,24338,16712,17819
"All ages","Lorries (vehicle wt over 3500 kg)","Bulgaria",,,,,,,,,,,,,,,,,,,,,,,,405217,372851,387186,401823,412031,61530
"All ages","Lorries (vehicle wt over 3500 kg)","Canada",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"All ages","Lorries (vehicle wt over 3500 kg)","Croatia",,,,,,,,,,,,,,,,,,,,,,,29473,30229,30993,32126,33173,33620,34965
"All ages","Lorries (vehicle wt over 3500 kg)","Cyprus",,,,,,,,,,,,,,,,,,,,,10142,9407,9473,9826,10162,10511,10940,11220,11534
"All ages","Lorries (vehicle wt over 3500 kg)","Czechia",,,,,,,,,,,,,,,,,,,,,187864,,221650,237925,253127,264959,275484,281969,288206
"All ages","Lorries (vehicle wt over 3500 kg)","Denmark",,,,,,,,,,,,,,,,,,,,,29215,28628,28309,28326,28261,28124,27919,27508,27717
"All ages","Lorries (vehicle wt over 3500 kg)","Estonia",,,,,,,,,,,,,,,,,,,,,24521,24807,24974,25417,25795,26102,27366,27682,27996
"All ages","Lorries (vehicle wt over 3500 kg)","Finland",,,,,,,,,,,,,,,,,,,,,,137285,141197,145779,150697,155868,161239,165787,169665
"All ages","Lorries (vehicle wt over 3500 kg)","France",,,,,,,,,,,,,,,,,,,,,348715,344215,337159,305289,307067,306356,306208,304688,307433
"All ages","Lorries (vehicle wt over 3500 kg)","Georgia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"All ages","Lorries (vehicle wt over 3500 kg)","Germany",,,,,,,,,,,,,,,,,,,,,531000,524688,524974,528449,529728,531849,531309,528196,530994
"All ages","Lorries (vehicle wt over 3500 kg)","Greece",,,,,,,,,,,,,,,,,,,,,,,,,,,73087,70389,
"All ages","Lorries (vehicle wt over 3500 kg)","Hungary",,,,,,,,,,,,,,,,,,,,,46874,46258,45166,44757,46696,49017,50957,50923,52230
"All ages","Lorries (vehicle wt over 3500 kg)","Iceland",,,,,,,,,,,,,,,,,,,,,,,,,11816,12484,12848,13113,12259
"All ages","Lorries (vehicle wt over 3500 kg)","Ireland",,,,,,,,,,,,,,,,,,,,,21134,19731,19143,19366,23060,23526,24383,22254,25139
"All ages","Lorries (vehicle wt over 3500 kg)","Israel",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"All ages","Lorries (vehicle wt over 3500 kg)","Italy",,,,,,,,,,,,,,,,,,,,,619035,605128,595032,587501,580694,573475,565010,516677,515850
"All ages","Lorries (vehicle wt over 3500 kg)","Kazakhstan",,,,,,,,,,,,,,,,,,,,,,,,439167,440612,404848,461780,,
"All ages","Lorries (vehicle wt over 3500 kg)","Kyrgyzstan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"All ages","Lorries (vehicle wt over 3500 kg)","Latvia",,,,,,,,,,,,,,,,,,,,,33976,20021,19198,17260,17274,17283,17134,17127,16818
"All ages","Lorries (vehicle wt over 3500 kg)","Liechtenstein",,,,,,,,,,,,,,,,,,,,,339,336,331,323,325,315,311,315,290
"All ages","Lorries (vehicle wt over 3500 kg)","Lithuania",,,,,,,,,,,,,,,,,,,,,34628,20493,20770,21965,23483,25409,27461,29304,31701
"All ages","Lorries (vehicle wt over 3500 kg)","Luxembourg",,,,,,,,,,,,,,,,,,,,,5298,5311,5404,5594,5556,5389,5787,5847,5877
"All ages","Lorries (vehicle wt over 3500 kg)","Malta",,,,,,,,,,,,,,,,,,,,,9830,9920,9941,10463,10820,11126,11538,11939,12178
"All ages","Lorries (vehicle wt over 3500 kg)","Monaco",,,,,,,,,,,,,,,,,,,,,,,,,,,,,197
"All ages","Lorries (vehicle wt over 3500 kg)","Montenegro",,,,,,,,,,,,,,,,,,,,,,,,2487,2599,2718,2767,,
"All ages","Lorries (vehicle wt over 3500 kg)","Netherlands",,,,,,,,,,,,,,,,,,,,,65046,63356,62436,62155,62581,61652,63081,62491,60867
"All ages","Lorries (vehicle wt over 3500 kg)","North Macedonia",,,,,,,,,,,,,,,,,,,,,30167,,,,35912,37010,38048,39202,43327
"All ages","Lorries (vehicle wt over 3500 kg)","Norway",,,,,,,,,,,,,,,,,,,,,,,,68759,66544,64365,63481,72419,70588
"All ages","Lorries (vehicle wt over 3500 kg)","Poland",,,,,,,,,,,,,,,,,,,,,627649,638104,650612,663904,674226,688968,703180,715226,728465
"All ages","Lorries (vehicle wt over 3500 kg)","Portugal",,,,,,,,,,,,,,,,,,,,,50111,51562,49112,47386,50760,51908,60797,55213,55780
"All ages","Lorries (vehicle wt over 3500 kg)","Republic of Moldova",,,,,,,,,,,,,,,,,,,,,,,,,,,,60365,
"All ages","Lorries (vehicle wt over 3500 kg)","Romania",,,,,,,,,,,,,,,,,,,,,,,,794578,846472,142414,145927,149888,152945
"All ages","Lorries (vehicle wt over 3500 kg)","Russian Federation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"All ages","Lorries (vehicle wt over 3500 kg)","San Marino",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"All ages","Lorries (vehicle wt over 3500 kg)","Serbia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"All ages","Lorries (vehicle wt over 3500 kg)","Slovakia",,,,,,,,,,,,,,,,,,,,,,,,278274,285645,293907,296952,298654,305038
"All ages","Lorries (vehicle wt over 3500 kg)","Slovenia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"All ages","Lorries (vehicle wt over 3500 kg)","Spain",,,,,,,,,,,,,,,,,,,,,,332568,332422,335018,338553,342957,346624,348271,349197
"All ages","Lorries (vehicle wt over 3500 kg)","Sweden",,,,,,,,,,,,,,,,,,,,,66807,67313,67599,68749,69989,70617,70634,70846,71665
"All ages","Lorries (vehicle wt over 3500 kg)","Switzerland",,,,,,,,,,,,,,,,,,,,,41700,41900,41800,41900,41946,42174,42142,41638,41692
"All ages","Lorries (vehicle wt over 3500 kg)","Tajikistan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"All ages","Lorries (vehicle wt over 3500 kg)","Turkiye",,,,,,,,,,,,,,,,,,599813,581933,587233,575721,576510,589426,599735,608523,609390,605813,610979,
"All ages","Lorries (vehicle wt over 3500 kg)","Turkmenistan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"All ages","Lorries (vehicle wt over 3500 kg)","Ukraine",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"All ages","Lorries (vehicle wt over 3500 kg)","United Kingdom",,,,,,,,,,,,,,,,,,,,,,,360695,365397,366752,364877,,,359435
"All ages","Lorries (vehicle wt over 3500 kg)","United States",,,,,,,,,,,,,,,,,,,,,8031589,7823273,7882667,8614916,8821012,9296491,,,
"All ages","Lorries (vehicle wt over 3500 kg)","Uzbekistan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"All ages","Road tractors","Albania",,,3334,2638,3151,2731,3018,2274,2721,2670,2957,1966,1896,2039,1976,1987,1969,,,,,,,,,,,,
"All ages","Road tractors","Andorra",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"All ages","Road tractors","Armenia",1616,1556,,,,,,,,,,,,,,,,,,,,,,,,,,,
"All ages","Road tractors","Austria",400663,405462,12617,13303,14332,15705,17015,17682,18276,18813,19534,20079,19161,18843,18901,18348,17065,16823,16748,16332,16192,16321,16508,16846,17870,18904,19334,19393,19827
"All ages","Road tractors","Azerbaijan",,,33174,,,20272,13100,13100,14267,12533,13221,13158,,16164,17982,,,,,8199,,,10116,,,,12527,,
"All ages","Road tractors","Belarus",23216,21419,20745,20485,,,,,,,,,,,,,,,,,,,,,,,,,
"All ages","Road tractors","Belgium",37894,38888,40074,40444,41346,42342,44055,45452,46302,46789,47102,47394,47646,47164,48060,49109,47418,46673,46844,46774,45000,44693,44851,45749,47478,50230,52694,52802,53899
"All ages","Road tractors","Bosnia and Herzegovina",,,,,,,,,,,,,,,,9984,,,,,,,,,8598,9048,,9259,10098
"All ages","Road tractors","Bulgaria",18118,18970,19920,21982,21806,21320,,21735,23624,24446,25389,21680,22828,17797,21547,25591,27024,29021,32056,35266,39125,42686,47809,51660,50396,51142,50660,49400,48317
"All ages","Road tractors","Canada",,,,,,,,139705,163392,175579,170898,176445,184719,209428,232489,241055,223931,,,,,,,,,,,,
"All ages","Road tractors","Croatia",2019,1497,4037,4665,5208,5408,5492,5748,6202,6909,7470,7894,8164,8661,9223,9559,8906,8352,8223,7673,8010,8662,9329,10443,11334,12229,12976,13781,14586
"All ages","Road tractors","Cyprus",,,919,955,956,1203,1011,1085,1147,1250,1295,1482,1558,1764,1812,1984,2162,2162,2036,1903,1682,1658,1637,1805,1878,1998,2076,2109,2176
"All ages","Road tractors","Czechia",14433,15357,16382,17482,18751,20035,21151,22669,24823,26061,25652,24769,24060,22622,20915,17814,14735,13045,11503,8717,7626,6621,5283,4488,4132,4360,3991,3706,3589
"All ages","Road tractors","Denmark",,8684,9412,9633,9961,10497,11256,11557,12009,12400,12805,13021,13774,14538,15322,14887,13202,12891,12862,12589,12858,12867,13127,13640,14130,14539,14584,14674,15430
"All ages","Road tractors","Estonia",7074,16930,29600,30200,31100,50908,50726,,,,,,,,,8033,7517,8270,9103,9665,10241,10583,10813,11365,11867,12197,12990,12924,13024
"All ages","Road tractors","Finland",,,3822,4464,5069,5253,5209,5309,5271,5385,5558,5890,6064,6225,7147,8354,8966,9601,10431,11203,11984,12439,12882,13656,14597,15314,16155,16677,17091
"All ages","Road tractors","France",168531,168336,175746,180985,180646,184359,190916,197668,201961,208511,218921,229440,239680,245668,254970,222059,211918,203848,202034,198847,204912,198593,197405,198089,205362,213177,217796,216157,219834
"All ages","Road tractors","Georgia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"All ages","Road tractors","Germany",120051,120712,124079,130392,134829,140516,153527,171124,177884,178114,179219,185364,192124,200272,179935,176883,170911,178050,184321,182829,184589,188481,194386,201984,210941,218454,219149,218469,222279
"All ages","Road tractors","Greece",662,7798,8099,8229,8481,8669,8930,9293,9765,10264,10749,,,,17132,18844,20380,21421,22021,22419,22384,22542,21799,22301,22160,22599,23524,24750,26700
